,Virus,ScientificName,accession,most_specific_diagnostic_Test,Order,Family,Genus,Species,common_names,viral_family
346,Rabies lyssavirus,Procyon lotor,124,PCR,CARNIVORA,PROCYONIDAE,Procyon,lotor,Northern Raccoon,Rhabdoviridae
347,Rabies lyssavirus,Proteles cristata,2,PCR,CARNIVORA,HYAENIDAE,Proteles,cristata,Aardwolf,Rhabdoviridae
348,Rabies lyssavirus,Rangifer tarandus,2,PCR,CETARTIODACTYLA,CERVIDAE,Rangifer,tarandus,"Reindeer, Caribou, Peary Caribou",Rhabdoviridae
349,Rabies lyssavirus,Spilogale putorius,5,PCR,CARNIVORA,MEPHITIDAE,Spilogale,putorius,"Eastern Spotted Skunk, Plains Spotted Skunk, Allegheny Spotted Skunk, Appalachian Spotted Skunk, Spotted Skunk",Rhabdoviridae
350,Rabies lyssavirus,Suricata suricatta,5,PCR,CARNIVORA,HERPESTIDAE,Suricata,suricatta,"Meerkat, Suricate, Slender-tailed Meerkat",Rhabdoviridae
351,Rabies lyssavirus,Sus scrofa domesticus,1,PCR,CETARTIODACTYLA,SUIDAE,Sus,scrofa domesticus,,Rhabdoviridae
352,Rabies lyssavirus,Tadarida brasiliensis,154,PCR,CHIROPTERA,MOLOSSIDAE,Tadarida,brasiliensis,"Brazilian Free-tailed Bat, Mexican Free-tailed Bat",Rhabdoviridae
353,Rabies lyssavirus,Taxidea taxus,4,PCR,CARNIVORA,MUSTELIDAE,Taxidea,taxus,American Badger,Rhabdoviridae
354,Rabies lyssavirus,Tragelaphus oryx,1,PCR,CETARTIODACTYLA,BOVIDAE,Tragelaphus,oryx,"Common Eland, Eland",Rhabdoviridae
355,Rabies lyssavirus,Tragelaphus strepsiceros,11,PCR,CETARTIODACTYLA,BOVIDAE,Tragelaphus,strepsiceros,Greater Kudu,Rhabdoviridae
356,Rabies lyssavirus,Urocitellus undulatus,2,PCR,RODENTIA,SCIURIDAE,Urocitellus,undulatus,Long-tailed Ground Squirrel,Rhabdoviridae
357,Rabies lyssavirus,Urocyon cinereoargenteus,7,PCR,CARNIVORA,CANIDAE,Urocyon,cinereoargenteus,"Grey Fox, Tree Fox, Gray Fox",Rhabdoviridae
