,Virus,ScientificName,accession,most_specific_diagnostic_Test,Order,Family,Genus,Species,common_names,viral_family
264,Rabies lyssavirus,Bubalus arnee,1,PCR,CETARTIODACTYLA,BOVIDAE,Bubalus,arnee,"Wild Water Buffalo, Wild Asian Buffalo, Indian Buffalo, Indian Water Buffalo, Water Buffalo, Asiatic Buffalo, Asian Buffalo",Rhabdoviridae
265,Rabies lyssavirus,Callithrix jacchus,17,PCR,PRIMATES,CALLITRICHIDAE,Callithrix,jacchus,"Common Marmoset, White-tufted-ear Marmoset",Rhabdoviridae
266,Rabies lyssavirus,Canis aureus,41,PCR,CARNIVORA,CANIDAE,Canis,aureus,"Golden Jackal, Asiatic Jackal, Common Jackal",Rhabdoviridae
267,Rabies lyssavirus,Canis familiaris,83,PCR,CARNIVORA,CANIDAE,Canis,familiaris,,Rhabdoviridae
268,Rabies lyssavirus,Canis latrans,75,PCR,CARNIVORA,CANIDAE,Canis,latrans,"Coyote, American Jackal, Brush Wolf, Prairie Wolf",Rhabdoviridae
269,Rabies lyssavirus,Canis lupus,16,PCR,CARNIVORA,CANIDAE,Canis,lupus,"Gray Wolf, Timber Wolf, Arctic Wolf, Grey Wolf, Mexican Wolf, Plains Wolf, Common Wolf, Tundra Wolf, Wolf",Rhabdoviridae
270,Rabies lyssavirus,Canis lupus familiaris,2155,PCR,CARNIVORA,CANIDAE,Canis,lupus familiaris,,Rhabdoviridae
271,Rabies lyssavirus,Canis mesomelas,47,PCR,CARNIVORA,CANIDAE,Canis,mesomelas,"Black-backed Jackal, Silver-backed Jackal",Rhabdoviridae
272,Rabies lyssavirus,Canis simensis,1,PCR,CARNIVORA,CANIDAE,Canis,simensis,"Ethiopian Wolf, Simien Jackal, Simien Fox",Rhabdoviridae
273,Rabies lyssavirus,Capra hircus,54,PCR,CETARTIODACTYLA,BOVIDAE,Capra,hircus,,Rhabdoviridae
274,Rabies lyssavirus,Cerdocyon thous,65,PCR,CARNIVORA,CANIDAE,Cerdocyon,thous,"Crab-eating Fox, Crab-eating Zorro, Savannah Fox, Common Zorro",Rhabdoviridae
275,Rabies lyssavirus,Cervus nippon,1,PCR,CETARTIODACTYLA,CERVIDAE,Cervus,nippon,"Sika Deer, Sika, Shansi Sika, Japanese Sika Deer",Rhabdoviridae
276,Rabies lyssavirus,Civettictis civetta,7,PCR,CARNIVORA,VIVERRIDAE,Civettictis,civetta,African Civet,Rhabdoviridae
277,Rabies lyssavirus,Corynorhinus townsendii,2,PCR,CHIROPTERA,VESPERTILIONIDAE,Corynorhinus,townsendii,Townsend's Big-eared Bat,Rhabdoviridae
278,Rabies lyssavirus,Crocuta crocuta,8,PCR,CARNIVORA,HYAENIDAE,Crocuta,crocuta,Spotted Hyaena,Rhabdoviridae
279,Rabies lyssavirus,Cynictis penicillata,2,PCR,CARNIVORA,HERPESTIDAE,Cynictis,penicillata,Yellow Mongoose,Rhabdoviridae
280,Rabies lyssavirus,Cynomops abrasus,1,PCR,CHIROPTERA,MOLOSSIDAE,Cynomops,abrasus,Cinnamon Dog-faced Bat,Rhabdoviridae
281,Rabies lyssavirus,Desmodus rotundus,138,PCR,CHIROPTERA,PHYLLOSTOMIDAE,Desmodus,rotundus,"Common Vampire Bat, Vampire Bat",Rhabdoviridae
282,Rabies lyssavirus,Diphylla ecaudata,2,PCR,CHIROPTERA,PHYLLOSTOMIDAE,Diphylla,ecaudata,Hairy-legged Vampire Bat,Rhabdoviridae
283,Rabies lyssavirus,Eptesicus diminutus,3,PCR,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,diminutus,Diminutive Serotine,Rhabdoviridae
284,Rabies lyssavirus,Eptesicus furinalis,35,PCR,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,furinalis,"Argentine Brown Bat, Argentinian Brown Bat",Rhabdoviridae
285,Rabies lyssavirus,Eptesicus fuscus,507,PCR,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,fuscus,Big Brown Bat,Rhabdoviridae
286,Rabies lyssavirus,Eptesicus serotinus,1,PCR,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,serotinus,Serotine,Rhabdoviridae
287,Rabies lyssavirus,Equus asinus,6,PCR,PERISSODACTYLA,EQUIDAE,Equus,asinus,,Rhabdoviridae
288,Rabies lyssavirus,Equus caballus,65,PCR,PERISSODACTYLA,EQUIDAE,Equus,caballus,,Rhabdoviridae
289,Rabies lyssavirus,Euderma maculatum,1,PCR,CHIROPTERA,VESPERTILIONIDAE,Euderma,maculatum,Spotted Bat,Rhabdoviridae
290,Rabies lyssavirus,Eumops glaucinus,1,PCR,CHIROPTERA,MOLOSSIDAE,Eumops,glaucinus,Wagner's Bonneted Bat,Rhabdoviridae
291,Rabies lyssavirus,Eumops patagonicus,1,PCR,CHIROPTERA,MOLOSSIDAE,Eumops,patagonicus,Patagonian Dwarf Bonneted Bat,Rhabdoviridae
292,Rabies lyssavirus,Eumops perotis,1,PCR,CHIROPTERA,MOLOSSIDAE,Eumops,perotis,"Western Mastiff Bat, Western Bonneted Bat, Greater Bonneted Bat",Rhabdoviridae
293,Rabies lyssavirus,Felis catus,115,PCR,CARNIVORA,FELIDAE,Felis,catus,,Rhabdoviridae
294,Rabies lyssavirus,Felis nigripes,1,PCR,CARNIVORA,FELIDAE,Felis,nigripes,"Black-footed Cat, Small-spotted Cat",Rhabdoviridae
295,Rabies lyssavirus,Felis silvestris,5,PCR,CARNIVORA,FELIDAE,Felis,silvestris,"Wild Cat, Wildcat",Rhabdoviridae
296,Rabies lyssavirus,Genetta genetta,3,PCR,CARNIVORA,VIVERRIDAE,Genetta,genetta,Common Genet,Rhabdoviridae
297,Rabies lyssavirus,Glossophaga soricina,1,PCR,CHIROPTERA,PHYLLOSTOMIDAE,Glossophaga,soricina,Pallas's Long-tongued Bat,Rhabdoviridae
298,Rabies lyssavirus,Herpestes edwardsii,1,PCR,CARNIVORA,HERPESTIDAE,Herpestes,edwardsii,"Indian Grey Mongoose, Grey Mongoose, Common Mongoose",Rhabdoviridae
299,Rabies lyssavirus,Herpestes sanguineus,3,PCR,CARNIVORA,HERPESTIDAE,Herpestes,sanguineus,"Common Slender Mongoose, Slender Mongoose",Rhabdoviridae
300,Rabies lyssavirus,Histiotus macrotus,9,PCR,CHIROPTERA,VESPERTILIONIDAE,Histiotus,macrotus,Big-eared Brown Bat,Rhabdoviridae
301,Rabies lyssavirus,Histiotus montanus,1,PCR,CHIROPTERA,VESPERTILIONIDAE,Histiotus,montanus,Small Big-eared Brown Bat,Rhabdoviridae
302,Rabies lyssavirus,Histiotus velatus,2,PCR,CHIROPTERA,VESPERTILIONIDAE,Histiotus,velatus,Tropical Big-eared Brown Bat,Rhabdoviridae
303,Rabies lyssavirus,Homo sapiens,207,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Rhabdoviridae
304,Rabies lyssavirus,Ichneumia albicauda,3,PCR,CARNIVORA,HERPESTIDAE,Ichneumia,albicauda,White-tailed Mongoose,Rhabdoviridae
305,Rabies lyssavirus,Lama glama,1,PCR,CETARTIODACTYLA,CAMELIDAE,Lama,glama,,Rhabdoviridae
306,Rabies lyssavirus,Lasionycteris noctivagans,65,PCR,CHIROPTERA,VESPERTILIONIDAE,Lasionycteris,noctivagans,Silver-haired Bat,Rhabdoviridae
307,Rabies lyssavirus,Lasiurus blossevillii,5,PCR,CHIROPTERA,VESPERTILIONIDAE,Lasiurus,blossevillii,Southern Red Bat,Rhabdoviridae
308,Rabies lyssavirus,Lasiurus borealis,45,PCR,CHIROPTERA,VESPERTILIONIDAE,Lasiurus,borealis,"Eastern Red Bat, Red Bat",Rhabdoviridae
309,Rabies lyssavirus,Lasiurus cinereus,79,PCR,CHIROPTERA,VESPERTILIONIDAE,Lasiurus,cinereus,"Hoary Bat, Hawaiian Hoary Bat",Rhabdoviridae
310,Rabies lyssavirus,Lasiurus ega,13,PCR,CHIROPTERA,VESPERTILIONIDAE,Lasiurus,ega,Southern Yellow Bat,Rhabdoviridae
311,Rabies lyssavirus,Lasiurus intermedius,12,PCR,CHIROPTERA,VESPERTILIONIDAE,Lasiurus,intermedius,Northern Yellow Bat,Rhabdoviridae
312,Rabies lyssavirus,Lasiurus seminolus,7,PCR,CHIROPTERA,VESPERTILIONIDAE,Lasiurus,seminolus,Seminole Bat,Rhabdoviridae
313,Rabies lyssavirus,Lasiurus xanthinus,2,PCR,CHIROPTERA,VESPERTILIONIDAE,Lasiurus,xanthinus,Western Yellow Bat,Rhabdoviridae
314,Rabies lyssavirus,Lycalopex vetulus,4,PCR,CARNIVORA,CANIDAE,Lycalopex,vetulus,"Hoary Fox, Small-toothed Dog, Hoary Zorro",Rhabdoviridae
315,Rabies lyssavirus,Lycaon pictus,3,PCR,CARNIVORA,CANIDAE,Lycaon,pictus,"African Wild Dog, Painted Hunting Dog, Cape Hunting Dog",Rhabdoviridae
316,Rabies lyssavirus,Lynx rufus,4,PCR,CARNIVORA,FELIDAE,Lynx,rufus,"Bobcat, Bay Lynx",Rhabdoviridae
317,Rabies lyssavirus,Martes foina,1,PCR,CARNIVORA,MUSTELIDAE,Martes,foina,"Beech Marten, Stone Marten",Rhabdoviridae
318,Rabies lyssavirus,Meles meles,1,PCR,CARNIVORA,MUSTELIDAE,Meles,meles,"Eurasian Badger, European Badger, Badger",Rhabdoviridae
319,Rabies lyssavirus,Mellivora capensis,4,PCR,CARNIVORA,MUSTELIDAE,Mellivora,capensis,"Honey Badger, Ratel",Rhabdoviridae
320,Rabies lyssavirus,Mephitis mephitis,79,PCR,CARNIVORA,MEPHITIDAE,Mephitis,mephitis,Striped Skunk,Rhabdoviridae
321,Rabies lyssavirus,Molossops neglectus,1,PCR,CHIROPTERA,MOLOSSIDAE,Molossops,neglectus,Rufous Dog-faced Bat,Rhabdoviridae
322,Rabies lyssavirus,Molossus molossus,6,PCR,CHIROPTERA,MOLOSSIDAE,Molossus,molossus,Pallas's Mastiff Bat,Rhabdoviridae
323,Rabies lyssavirus,Molossus rufus,6,PCR,CHIROPTERA,MOLOSSIDAE,Molossus,rufus,Black Mastiff Bat,Rhabdoviridae
324,Rabies lyssavirus,Mustela putorius,1,PCR,CARNIVORA,MUSTELIDAE,Mustela,putorius,"Western Polecat, European Polecat",Rhabdoviridae
325,Rabies lyssavirus,Myotis albescens,1,PCR,CHIROPTERA,VESPERTILIONIDAE,Myotis,albescens,Silver-tipped Myotis,Rhabdoviridae
326,Rabies lyssavirus,Myotis austroriparius,1,PCR,CHIROPTERA,VESPERTILIONIDAE,Myotis,austroriparius,Southeastern Myotis,Rhabdoviridae
327,Rabies lyssavirus,Myotis californicus,12,PCR,CHIROPTERA,VESPERTILIONIDAE,Myotis,californicus,"California Myotis, Californian Myotis",Rhabdoviridae
328,Rabies lyssavirus,Myotis chiloensis,8,PCR,CHIROPTERA,VESPERTILIONIDAE,Myotis,chiloensis,Chilean Myotis,Rhabdoviridae
